iter	Passed	Remaining
786	1151	311
787	1152	310
788	1155	308
789	1156	307
790	1159	306
791	1160	304
792	1167	304
793	1168	303
794	1170	301
795	1171	300
796	1175	299
797	1176	297
798	1183	297
799	1184	296
800	1185	294
801	1187	293
802	1190	291
803	1191	290
804	1192	288
805	1193	287
806	1194	285
807	1196	284
808	1199	283
809	1200	281
810	1201	280
811	1202	278
812	1204	276
813	1205	275
814	1208	274
815	1213	273
816	1216	272
817	1217	270
818	1218	269
819	1219	267
820	1223	266
821	1229	266
822	1231	264
823	1232	263
824	1233	261
825	1235	260
826	1236	258
827	1237	257
828	1238	255
829	1239	253
830	1244	253
831	1248	252
832	1249	250
833	1250	248
834	1250	247
835	1251	245
836	1252	243
837	1255	242
838	1257	241
839	1258	239
840	1260	238
841	1262	236
842	1264	235
843	1265	233
844	1270	232
845	1272	231
846	1273	230
847	1274	228
848	1281	227
849	1300	229
850	1306	228
851	1309	227
852	1310	225
853	1312	224
854	1314	222
855	1315	221
856	1317	219
857	1320	218
858	1321	216
859	1326	215
860	1333	215
861	1336	214
862	1338	212
863	1371	215
864	1373	214
865	1389	214
866	1397	214
867	1399	212
868	1401	211
869	1436	214
870	1438	213
871	1439	211
872	1446	210
873	1449	208
874	1451	207
875	1453	205
876	1454	204
877	1456	202
878	1457	200
879	1461	199
880	1464	197
881	1465	196
882	1467	194
883	1468	192
884	1469	191
885	1470	189
886	1471	187
887	1473	185
888	1474	184
889	1497	185
890	1500	183
891	1514	183
892	1516	181
893	1517	179
894	1518	178
895	1520	176
896	1522	174
897	1523	173
898	1524	171
899	1525	169
900	1526	167
901	1527	165
902	1528	164
903	1529	162
904	1529	160
905	1530	158
906	1531	157
907	1532	155
908	1533	153
909	1535	151
910	1536	150
911	1537	148
912	1538	146
913	1539	144
914	1540	143
915	1542	141
916	1542	139
917	1543	137
918	1544	136
919	1544	134
920	1546	132
921	1549	131
922	1550	129
923	1551	127
924	1552	125
925	1553	124
926	1555	122
927	1556	120
928	1557	119
929	1558	117
930	1558	115
931	1559	113
932	1564	112
933	1566	110
934	1568	109
935	1569	107
936	1570	105
937	1571	103
938	1572	102
939	1573	100
940	1574	98
941	1575	96
942	1577	95
943	1579	93
944	1580	91
945	1581	90
946	1583	88
947	1584	86
948	1585	85
949	1586	83
950	1587	81
951	1588	80
952	1590	78
953	1592	76
954	1593	75
955	1594	73
956	1594	71
957	1596	69
958	1597	68
959	1598	66
960	1599	64
961	1600	63
962	1601	61
963	1602	59
964	1602	58
965	1605	56
966	1605	54
967	1606	53
968	1607	51
969	1609	49
970	1610	48
971	1612	46
972	1613	44
973	1614	43
974	1614	41
975	1615	39
976	1616	38
977	1618	36
978	1619	34
979	1620	33
980	1621	31
981	1622	29
982	1623	28
983	1624	26
984	1625	24
985	1626	23
986	1627	21
987	1628	19
988	1628	18
989	1629	16
990	1630	14
991	1632	13
992	1634	11
993	1635	9
994	1636	8
995	1636	6
996	1637	4
997	1638	3
998	1639	1
999	1640	0
